MRTX,$659.1M
PMM,$390.65M
PQ,$39.35M
IIPR^A,n/a
IX,$25.59B
VSTO,$862.72M
EFBI,$25.5M
TUSK,$989.28M
CSII,$880.34M
DISCB,$12.04B
NEWA,$118.92M
BHP,$133.09B
PHM,$10.15B
CTZ,n/a
DHX,$92.95M
INTU,$43.57B
BSD,$99M
OVLY,$174.93M
ABCB,$2.04B
ESTE,$647.04M
OMED,$107.89M
CHUBA,$900.12M
LIQT,$19.67M
CSGS,$1.54B
ENTL,$615.31M
STT^D,n/a
ELON,$21.52M
RFEM,$98.79M
AROW,$472.59M
WOOD,$416.56M
AVH,$1.04B
AABA,$70.13B
MSEX,$626.05M
GLRE,$774.99M
MIIIU,n/a
ITG,$706.18M
VIVO,$681.15M
NSL,$250.66M
FCPT,$1.48B
MS^E,n/a
JQC,$1.12B
NRIM,$233.01M
TPR,$13.58B
LGF.B,n/a
VMBS,$4.91B
LZB,$1.52B
VRTU,$1.41B
EDGW,$85.91M
NYMTN,n/a
MIY,$401.38M
INAP,$86.61M
ABIO,$22.03M
GCP,$2.44B
MEI,$1.6B
SLDB,$729.01M
CIA,$404.16M
WGL,$4.33B
CELG,$82.8B
MBFI,$3.62B
RL,$9.66B
ED,$24.93B
QUMU,$18.78M
LM,$4.21B
PDI,$1.5B
ALV,$11.96B
PJC,$1.4B
EOD,$277.14M
UNIT,$2.86B
TDC,$4.94B
MFO,n/a
TRT,$23.49M
WIW,$705.76M
NWHM,$258.66M
CSTR,$224.68M
DFVS,$1.23M
CASI,$251.81M
KIQ,$35.31M
BAC^E,n/a
PBHC,$67.06M
WF,$10.86B
KALA,$369.04M
LEO,$510.8M
NYRT,$683.47M
SCE^B,n/a
VNCE,$80.38M
TAST,$470.06M
CF,$9.83B
MCFT,$450.71M
PRE^G,n/a
SPEX,$8.85M
DGSE,$27.75M
WABC,$1.63B
FMNB,$422.8M
RNLC,$20.78M
VIRC,$72.18M
EVK,$39.21M
JXSB,$60.4M
ATRS,$354.08M
AEE,$13.81B
HCHC,$264.79M
NBH,$272.39M
NTRI,$1.34B
FFIC,$812.43M
MCHI,$3.44B
L,$18B
OPOF,$145.04M
TITN,$488.51M
DUK,$55.18B
IMKTA,$732.39M
NODK,$373.08M
GPT,$4.11B
FCB,$2.5B
CIG.C,n/a
DTLA^,n/a
AUBN,$137.73M
VMM,$152M
INF,$187.12M
AP,$184.8M
USDP,$299.13M
DTQ,n/a
TSRO,$3.76B
JAX,$148.42M
USB^H,n/a
SIX,$5.76B
SAGE,$7.63B
HIG,$21.09B
OSIS,$1.28B
NEV,$347.55M
IBM,$154.92B
TPRE,$1.56B
GRR,$47.34M
EIO,$31.65M
TYME,$447.5M
QNST,$437.49M
WSM,$4.5B
DBVT,$1.25B
ALIM,$82.98M
